nmnh_id,vault_score_scan_eh,ecto_pitting_3d_eh,true_porosity_3d_eh,orbit_score_scan_eh,modality
268028,2,1,0,1,scan_3d
267641,3,1,1,2,scan_3d
267208,1,1,0,0,scan_3d
267200,2,1,0,1,scan_3d
267197,1,0,0,0,scan_3d
267186,1,1,0,2,scan_3d
267182,1,1,0,2,scan_3d
267171,2,1,0,1,scan_3d
267150,2,1,0,2,scan_3d
267107,1,1,0,1,scan_3d
267097,1,1,0,1,scan_3d
267071,2,1,0,2,scan_3d
266926,3,1,1,0,scan_3d
266748,2,1,0,3,scan_3d
266741,2,1,0,2,scan_3d
266562,1,0,0,1,scan_3d
266487,2,1,0,1,scan_3d
266399,2,1,0,3,scan_3d
266316,1,1,0,2,scan_3d
266148,2,1,0,3,scan_3d
266027,4,1,1,4,scan_3d
264543,4,1,1,4,scan_3d